Ridership Rank,Station Name,Line,Ridership,Midtown Direct Binary,stop_id,Official NJT Station Name,stop_lat,stop_lon,avg_trains_per_hour,Duration to NY Penn (mins),Distance from NY Penn (km),Total Parking Spaces,station_name,Popoulation_Density_weighted_avg,Median_Household_Income_weighted_avg,Percent_Bach_Degree_weighted_avg,Labor_Force_Participation_Rate_weighted_avg,Employment_Rate_weighted_avg,Unemployment_Rate_weighted_avg,Percent_Public_Transit_Users_weighted_avg,Median_Age_weighted_avg
86,East Orange (M&E),M&E,455.0,0,37,EAST ORANGE,40.760977,-74.210464,7.636363636363637,28.0,22.208892,53,EAST ORANGE,7233.560051024603,46417.27880593208,13.93970773319472,66.38212745688612,87.79135612990224,13.44009650564688,24.437584466154338,35.09082668257832
87,Westwood (Pascack),Pascack,451.0,0,156,WESTWOOD,40.990817,-74.032696,3.4545454545454546,51.0,36.21015,220,WESTWOOD,2080.2659414125487,123729.07843397284,34.65600731709555,71.65976360116998,97.9637939143666,2.9718177101809897,8.918207782288638,44.14896588585162
88,WATSESSING AVENUE (M-B),M-B,434.0,1,154,WATSESSING AVENUE,40.782743,-74.198451,5.863636363636363,29.0,22.047958,59,WATSESSING AVENUE,4530.918868156759,72546.35148490986,22.507832834877743,70.18059673570977,92.59717682196006,8.572181805828105,19.19229844586188,36.88309726041693
89,Allendale (MLBC),MLBC,423.0,0,3,ALLENDALE,41.030902,-74.130957,6.681818181818182,68.0,40.555368,251,ALLENDALE,880.7849404820388,164338.34210014218,43.215384851296726,61.116557251288135,96.11210508200963,4.3741182247672254,16.491195160991992,44.70743194502343
90,Anderson Street (Pascack),Pascack,417.0,0,5,ANDERSON STREET,40.894458,-74.043781,3.5454545454545454,39.0,24.783836,50,ANDERSON STREET,3668.155833932832,82780.83044679077,29.625835581974016,70.40366230192299,96.22606877187584,4.172475732373519,20.137828519182133,40.04783811367907
91,Oradell (Pascack),Pascack,401.0,0,111,ORADELL,40.953478,-74.029983,3.4545454545454546,47.0,31.703998,304,ORADELL,1137.4191343824796,178941.6375376217,40.872256263252325,63.95188124061921,96.47776826106757,4.0928764946149085,15.58709430451539,43.8829682562108
92,Hillsdale (Pascack),Pascack,398.0,0,62,HILLSDALE,41.002414,-74.041033,3.619047619047619,51.0,37.497622,261,HILLSDALE,1664.409847015126,141877.18004036832,31.309095424599704,69.01317886540947,96.58626968504062,3.5919112851856263,8.408367576090878,44.1293250948494
93,Lyons (GLAD),GLAD,385.0,0,76,LYONS,40.684844,-74.54947,5.863636363636363,79.0,55.52223,331,LYONS,519.8190801649409,219767.86854251308,34.2671686192743,57.51237830825144,94.75027284436304,5.249727155636952,9.232641102135698,47.53393085523481
94,Montclair Heights (M-B),M-B,350.0,1,89,MONTCLAIR HEIGHTS,40.857536,-74.2025,4.904761904761905,52.0,30.738394000000003,63,MONTCLAIR HEIGHTS,1326.657668322451,168360.5568297738,39.42600683572914,64.531718806726,96.07425270082668,5.01508567499526,16.37285854454742,43.22831716208691
95,Essex Street (Pascack),Pascack,349.0,0,43,ESSEX STREET,40.878973,-74.051893,3.5,36.0,23.013562,214,ESSEX STREET,2854.293476391899,69342.09335585205,19.90920677274296,68.20803557677976,95.66062012402892,4.4764279772461055,14.537705466491223,38.18502168422421
96,Bridgewater (RVL),RVL,346.0,0,24,BRIDGEWATER,40.559904,-74.551741,5.909090909090909,74.0,55.844098,467,BRIDGEWATER,858.5028006195221,65500.15176191936,18.17134289683277,78.7305281213188,96.95081228704235,3.049187712957653,4.523503724404342,38.73268535366165
97,Mountain Station (M&E),M&E,333.0,0,97,MOUNTAIN STATION,40.755365,-74.253024,6.090909090909091,39.0,28.002516,88,MOUNTAIN STATION,2299.667418326104,148580.37138920158,30.63278019372607,68.52480372960034,94.3306582377522,7.281725644003997,36.446752623550665,41.3374735159361
98,Broadway (MLBC),MLBC,317.0,0,25,BROADWAY,40.922505,-74.115236,5.590909090909091,47.0,27.680648,80,BROADWAY,3012.820369344677,108821.99110685124,31.80247807690497,66.73177175403785,94.66556087903771,8.666886608191575,12.983512091404869,42.56640559803683
100,Wood-Ridge (Pascack),Pascack,305.0,0,160,WOOD-RIDGE,40.843974,-74.078719,3.5454545454545454,29.0,18.50741,130,WOOD-RIDGE,763.0134087891917,73017.72938324428,16.207852989196528,66.35784540521232,98.02283903568612,4.495545202085057,9.305228564952795,36.31198554768482
101,POINT PLEASANT (NJCL),NJCL,256.0,1,122,POINT PLEASANT,40.092718,-74.048191,4.545454545454546,144.0,105.572704,190,POINT PLEASANT,1301.7532078967602,117730.51782203183,40.2581579475842,60.66725638817802,93.79499141561276,7.386477500715944,4.404835144869563,50.64276866919908
102,Belmar (NJCL),NJCL,241.0,0,15,BELMAR,40.18059,-74.027301,4.545454545454546,114.0,95.433862,185,BELMAR,2039.0419225271617,92793.83246232964,34.74565974857685,70.69722102918334,94.5202282089299,5.879838210664994,3.586504178919025,46.45343975315056
103,Highland Avenue (M&E),M&E,233.0,0,61,HIGHLAND AVENUE,40.766863,-74.243744,6.2727272727272725,41.0,29.611856,31,HIGHLAND AVENUE,4527.040699229853,82809.22875198322,19.22283151436912,65.40528702902432,93.4020596100609,8.064308469173772,24.914326030581144,40.52427490619309
104,Avenel (NJCL),NJCL,222.0,1,11,AVENEL,40.57762,-74.27753,6.2727272727272725,52.0,37.336688,33,AVENEL,2117.7039502156176,84637.3148728014,12.963693804225976,67.94044607573093,96.16962712207332,4.393674181546944,9.141782730217953,41.80233202503384
105,Emerson (Pascack),Pascack,219.0,0,42,EMERSON,40.975036,-74.027474,3.409090909090909,45.0,34.118008,101,EMERSON,1334.1099646726886,159631.33888459788,38.12390421465596,66.25956317577823,97.65332597010762,5.26103878963696,17.584697023384248,48.16195602697976
106,Bradley Beach (NJCL),NJCL,196.0,0,22,BRADLEY BEACH,40.203751,-74.018891,4.545454545454546,110.0,92.697984,73,BRADLEY BEACH,2432.998400937733,70118.38032878333,26.44129864400051,66.45781258766974,95.80259313176116,6.217030161073557,8.269881178128536,47.32731110028562
107,Wesmont (MLBC),MLBC,188.0,0,43599,WESMONT,40.854979,-74.096951,5.045454545454546,32.0,19.473014,216,WESMONT,3114.1352417914104,115883.46572258657,26.059591533229224,71.14150531911211,96.55170969335796,5.09944296797735,12.944410379351329,41.40324641484418
108,Bay Head (NJCL),NJCL,179.0,0,13,BAY HEAD,40.077178,-74.046183,4.545454545454546,148.0,107.182044,99,BAY HEAD,1341.112876559143,104828.00841538404,35.39957016330964,60.39839205391884,95.90513760617772,4.292486336596748,3.560991685067674,48.80329391267586
110,Park Ridge (Pascack),Pascack,176.0,0,114,PARK RIDGE,41.032305,-74.036164,3.619047619047619,57.0,40.877236,132,PARK RIDGE,1120.021065317301,145357.34344601302,36.57204412220341,66.53420727545713,96.682449309926,4.806621707288657,9.780294041211256,46.33851514208593
111,Garfield (MLBC),MLBC,175.0,0,46,GARFIELD,40.866669,-74.10556,4.2727272727272725,39.0,21.243288,0,GARFIELD,5738.605143349663,69133.93922223171,17.07474049844407,66.58891656010266,94.4007460280696,6.354696669523699,15.331968771017609,35.26120172463797
112,Little Falls (M-B),M-B,165.0,0,72,LITTLE FALLS,40.880669,-74.235372,2.1666666666666665,63.0,36.853886,0,LITTLE FALLS,1003.9163864651912,122435.34856538405,24.09534344591238,65.98589646970011,95.0602357174126,7.886638123089678,9.31028492755284,43.52282599939776
113,Manasquan (NJCL),NJCL,164.0,0,79,MANASQUAN,40.120573,-74.047688,4.545454545454546,139.0,102.354024,140,MANASQUAN,1320.585834600972,167963.05840726945,41.379293543428126,64.34663473978875,89.92981917329169,10.782822428757289,4.864054807620145,47.297278813466974
115,Mahwah (MLBC),MLBC,157.0,0,78,MAHWAH,41.094416,-74.14662,6.565217391304348,77.0,47.797398,86,MAHWAH,979.4705397511711,99057.04378896407,34.76164037200832,60.01310236136044,95.95501442406297,4.9215484009003525,7.971273701399163,45.87476861363267
116,Montvale (Pascack),Pascack,152.0,0,90,MONTVALE,41.040879,-74.029152,3.619047619047619,59.0,42.164708,206,MONTVALE,1160.52020146356,156457.58454157904,33.132219555324376,66.02186084289728,94.70001478196129,7.310155926765029,10.855839202401906,44.48188144702447
117,Spring Lake (NJCL),NJCL,147.0,1,141,SPRING LAKE,40.150557,-74.035481,4.545454545454546,135.0,98.813476,0,SPRING LAKE,1032.342914347866,89696.85514572386,36.625923774095234,49.09807590386863,96.15889123622073,5.297209259040427,10.74961128558293,55.332114337263576
118,Gillette (GLAD),GLAD,146.0,0,48,GILLETTE,40.678251,-74.468317,5.909090909090909,69.0,48.119266,82,GILLETTE,204.1029727697063,131561.77969978724,31.253483154608105,60.990299537682574,90.916379027534,9.083620972466004,9.342711104192125,46.03798822452364
119,Bernardsville (GLAD),GLAD,135.0,0,18,BERNARDSVILLE,40.716845,-74.571023,5.863636363636363,85.0,60.35025,143,BERNARDSVILLE,364.314190835068,169213.6169805021,37.43847015753793,65.09814059905376,94.17410370600496,9.697573790964505,5.274143829326112,44.931090216789855
120,Mountain Avenue (M-B),M-B,133.0,1,95,MOUNTAIN AVENUE,40.848715,-74.205306,3.6666666666666665,49.0,29.77279,25,MOUNTAIN AVENUE,1550.7545889149314,188058.69382981723,39.61473927984246,62.05562349825161,96.28279832901887,4.884106610304582,23.923246132896093,43.30054133214228
122,Millington (GLAD),GLAD,131.0,0,88,MILLINGTON,40.673513,-74.523606,5.863636363636363,76.0,52.786352,0,MILLINGTON,427.5188294162695,167656.8845560753,34.69736791486446,62.7821268413643,97.27114837514335,3.227631388151733,9.53118063765606,45.10261350878391
